GEO,Bases,Downloads,Instrument_model,Library_layout,Library_strategy,Organism,Organization,SRA,Source,Title,Sample_characteristics,Tissue,Public_Time,Submission_Time,Pubmed,Authors,Ftp,Md5,Bisulfite_conversion_rate
GSE102395,N,N,N,N,N,Homo sapiens,University of Western Australia,N,N,Lack of Repressive Capacity of Human Promoter DNA Methylation identified through Genome-Wide Epigenomic Manipulation,N,N,2017-08-10,2017-08-09,N,"Ford E,Grimmer MR,Stolzenburg S,Bogdanovic O,de Mendoza A,Farnham PJ,Blancafort P,Lister R",N,N,N
GSE102851,N,N,N,N,N,Homo sapiens,University of Western Australia,N,N,Characterization of distinct states of human naive pluripotency,N,N,2017-09-25,2017-08-21,N,"Liu X,Nefzger CM,Rossello FJ,Pflueger J,Ford E,Lister R,Polo JM",N,N,N
GSE103309,N,N,N,N,N,Homo sapiens,UC Davis,N,N,UBE3A-mediated regulation of imprinted genes and epigenome-wide marks in human neurons,N,N,2017-09-26,2017-08-30,28925810,Lopez SJ,N,N,N
GSE104579,N,N,N,N,N,Homo sapiens,Baylor college of Medicine,N,N,DNA methylation state is associated with the formation of loops and links in hematopoietic stem cells,N,N,2017-11-24,2017-10-04,N,"Su J,Jeong M,Goodell M",N,N,N
GSE107580,N,N,N,N,N,Homo sapiens,Lund University,N,N,Activation of neuronal genes via LINE-1 elements upon global DNA demethylation in human neural progenitors,N,N,2019-05-29,2017-12-01,31320637,"Jönsson M,Brattås P,Gustafsson C,Petri R,Yudovich D,Verschuere S,Madsen S,Hansson J,Larsson J,Månsson R,Meissner A,Jakobsson J",N,N,N
GSE107607,N,N,N,N,N,Homo sapiens,University of Western Australia,N,N,A modular dCas9-SunTag DNMT3A epigenome editing system overcomes pervasive off-target activity of direct fusion dCas9-DNMT3A constructs,N,N,2018-06-05,2017-12-01,29907613,"Pflueger C,Tan D,Swaine T,Nguyen T,Pflueger J,Nefzger C,Polo J,Lister R",N,N,N
GSE107690,N,N,N,N,N,Homo sapiens,University of Cambridge,N,N,G-quadruplex structures moulds the DNA methylome,N,N,2018-07-16,2017-12-05,"30275516,33892767","Spiegel J,Ghanbarian A,Marsico G,Beraldi D,Hänsel-Hertsch R,Mao S,Tannahill D,Balasubramanian S",N,N,N
GSE107738,N,N,N,N,N,Homo sapiens,Beckman Research Institute,N,N,Identification of Tissue Specific DNA Methylation Signatures for Thyroid Nodule Diagnostics,N,N,2018-11-30,2017-12-06,30093451,"Hahn MA,Yim JH,Fong Y,Pfeifer GP,Choi AH,Li AX,Qin H,Chang S,Tong ST,Chu P,Kim B,Lew R,Ibrahim Y,Poroyko VA,Wang J,Wu X",N,N,N
GSE108066,N,N,N,N,N,Homo sapiens,Georgia Institute of Technology,N,N,Contribution of differential cell-specific methylation to schizophrenia,N,N,2019-06-25,2017-12-14,"31288836,33795684",,N,N,N
GSE109085,N,N,N,N,N,Homo sapiens,Weill Cornell Medicine,N,N,Epigenetic evolution and lineage histories of chronic lymphocytic leukemia,N,N,2019-05-02,2018-01-11,31015400,"Gaiti F,Chaligne R,Gu H,Wu CJ,Meissner A,Landau DA",N,N,N
GSE109104,N,N,N,N,N,Homo sapiens,Mount Sinai School of Medicine,N,N,"DNA methylation in hESC derived brain organoids and iPSC derived neurons, astrocytes and neural progenitors",N,N,2018-01-12,2018-01-11,29435496,"Janssens S,Schotsaert M,Karnik R,Balasubramaniam V,Dejosez M,Meissner A,García-Sastre A,Zwaka TP",N,N,N
GSE109212,N,N,N,N,N,Homo sapiens,University of Southern California,N,N,Genome-wide Methylation in Cordblood CD4+ Cells from Newborns Exposed vs. Unexposed to Maternal Tobacco Smoke During Pregnancy,N,N,2019-03-13,2018-01-16,31039056,"Breton C,Howe C",N,N,N
GSE109317,N,N,N,N,N,Homo sapiens,Hospital Universitario La Paz,N,N,An epigenomic approach to identifying differential overlapping and cis-acting lncRNAs in cisplatin-resistant cancer cells [BiSulfite-seq],N,N,2018-06-14,2018-01-17,29436261,"Vera O,Rodriguez-Antolin C,de Castro J,Karreth FA,Sellers TA,Ibañez de Caceres I",N,N,N
